buildingid,lat,lon,confidence,match_type
22629,40.84463,-73.943128,0.8,fallback
25565,40.809126,-73.95782,0.8,fallback
22651,40.845227,-73.942973,0.8,fallback
25567,40.809795,-73.957567,0.8,fallback
5510,40.805891,-73.962368,0.8,fallback
803999,40.806058,-73.961955,0.8,fallback
804000,40.806423,-73.961688,0.8,fallback
5513,40.806461,-73.960826,0.8,fallback
5517,40.808166,-73.959807,0.8,fallback
5520,40.808771,-73.959068,0.8,fallback
5522,40.80898,-73.959098,0.8,fallback
5524,40.809437,-73.958835,0.8,fallback
23404,40.813803,-73.960369,0.8,fallback
5526,40.810231,-73.958886,0.8,fallback
5528,40.810473,-73.958708,0.8,fallback
25570,40.810194,-73.957653,0.8,fallback
9597,40.813275,-73.96103,0.8,fallback
9598,40.809057,-73.964741,0.8,fallback
22637,40.846295,-73.942798,0.8,fallback
38678,40.804726,-73.950529,0.8,fallback
9605,40.814508,-73.960811,0.8,fallback
9615,40.815448,-73.960194,0.8,fallback
9617,40.809312,-73.964595,0.8,fallback
9618,40.809507,-73.964453,0.8,fallback
37812,40.803439,-73.966498,0.8,fallback
7920,40.803536,-73.966699,0.8,fallback
7938,40.805095,-73.965381,0.8,fallback
7941,40.805729,-73.965168,0.8,fallback
7942,40.806058,-73.965832,0.8,fallback
9619,40.809657,-73.964312,0.8,fallback
7949,40.806359,-73.964597,0.8,fallback
7950,40.806773,-73.9653,0.8,fallback
804141,40.807426,-73.963887,0.8,fallback
7954,40.80771,-73.964543,0.8,fallback
7963,40.811485,-73.960774,0.8,fallback
8009,40.818835,-73.956406,0.8,fallback
9620,40.809794,-73.964215,0.8,fallback
27264,40.803871,-73.968609,0.8,fallback
9621,40.809896,-73.964093,0.8,fallback
21810,40.848201,-73.939105,0.8,fallback
38274,40.805422,-73.960209,0.8,fallback
38275,40.805819,-73.960211,0.8,fallback
38396,40.806106,-73.960007,0.8,fallback
38602,40.807802,-73.958775,0.8,fallback
27275,40.806987,-73.966836,0.8,fallback
38279,40.805904,-73.960422,0.8,fallback
805873,40.806742,-73.959427,0.8,fallback
38732,40.808211,-73.958932,0.8,fallback
38899,40.808756,-73.958616,0.8,fallback
27277,40.807231,-73.966765,0.8,fallback
38281,40.805992,-73.960632,0.8,fallback
38603,40.807874,-73.958948,0.8,fallback
38604,40.807935,-73.959109,0.8,fallback
38282,40.806081,-73.960845,0.8,fallback
38605,40.807974,-73.959268,0.8,fallback
38398,40.806196,-73.960276,0.8,fallback
38606,40.80804,-73.959422,0.8,fallback
38734,40.808517,-73.958606,0.8,fallback
38735,40.808384,-73.959181,0.8,fallback
847266,40.810173,-73.958106,0.8,fallback
38400,40.806336,-73.960499,0.8,fallback
27282,40.808368,-73.966013,0.8,fallback
27284,40.808514,-73.965733,0.8,fallback
27287,40.809159,-73.965206,0.8,fallback
27288,40.809292,-73.9651,0.8,fallback
27290,40.809468,-73.964968,0.8,fallback
27291,40.809586,-73.964822,0.8,fallback
27292,40.809835,-73.964728,0.8,fallback
27293,40.809972,-73.964631,0.8,fallback
27294,40.810118,-73.964519,0.8,fallback
27295,40.810267,-73.964409,0.8,fallback
9622,40.810189,-73.963965,0.8,fallback
38067,40.804929,-73.963108,0.8,fallback
39208,40.810684,-73.958963,0.8,fallback
39060,40.810437,-73.959195,0.8,fallback
38068,40.805002,-73.963278,0.8,fallback
39211,40.810749,-73.959117,0.8,fallback
38069,40.805279,-73.962902,0.8,fallback
38177,40.805593,-73.962726,0.8,fallback
37979,40.804779,-73.963642,0.8,fallback
37980,40.804864,-73.963796,0.8,fallback
38071,40.805303,-73.963088,0.8,fallback
37981,40.804452,-73.964001,0.8,fallback
39213,40.810838,-73.959266,0.8,fallback
38178,40.805694,-73.962965,0.8,fallback
37891,40.803925,-73.964439,0.8,fallback
39063,40.810803,-73.960047,0.8,fallback
22643,40.843392,-73.943248,0.8,fallback
38179,40.805795,-73.963203,0.8,fallback
39216,40.811071,-73.959868,0.8,fallback
37893,40.80431,-73.964567,0.8,fallback
37983,40.804943,-73.964006,0.8,fallback
37984,40.804685,-73.964476,0.8,fallback
37985,40.805055,-73.964258,0.8,fallback
38074,40.805557,-73.963468,0.8,fallback
38180,40.805877,-73.963349,0.8,fallback
39218,40.811172,-73.960042,0.8,fallback
38075,40.805562,-73.963546,0.8,fallback
37986,40.804753,-73.964633,0.8,fallback
38076,40.80508,-73.963629,0.8,fallback
39219,40.811226,-73.960174,0.8,fallback
39065,40.810979,-73.960468,0.8,fallback
27301,40.814564,-73.961268,0.8,fallback
38182,40.805945,-73.963495,0.8,fallback
37896,40.804445,-73.964886,0.8,fallback
27302,40.814845,-73.961094,0.8,fallback
37987,40.804819,-73.964791,0.8,fallback
38079,40.805263,-73.963867,0.8,fallback
38183,40.805988,-73.963546,0.8,fallback
39220,40.811283,-73.960306,0.8,fallback
37988,40.805167,-73.964428,0.8,fallback
38080,40.805623,-73.96375,0.8,fallback
38081,40.80568,-73.963849,0.8,fallback
38185,40.806015,-73.9637,0.8,fallback
37899,40.804647,-73.965039,0.8,fallback
37990,40.805261,-73.964737,0.8,fallback
38082,40.805334,-73.964055,0.8,fallback
38186,40.806049,-73.96375,0.8,fallback
38187,40.806078,-73.963811,0.8,fallback
37991,40.805334,-73.965058,0.8,fallback
37992,40.804987,-73.965184,0.8,fallback
38083,40.805406,-73.964194,0.8,fallback
38188,40.80612,-73.963863,0.8,fallback
38084,40.805797,-73.964207,0.8,fallback
38085,40.805431,-73.964253,0.8,fallback
38189,40.806137,-73.96393,0.8,fallback
9064,40.803596,-73.965891,0.8,fallback
38086,40.805457,-73.964313,0.8,fallback
38190,40.806156,-73.963996,0.8,fallback
805854,40.806634,-73.964192,0.8,fallback
38087,40.805499,-73.964359,0.8,fallback
38191,40.806198,-73.964049,0.8,fallback
27304,40.815106,-73.960881,0.8,fallback
27305,40.815366,-73.960689,0.8,fallback
38088,40.805509,-73.964425,0.8,fallback
38192,40.806214,-73.964118,0.8,fallback
27306,40.815537,-73.960335,0.8,fallback
38089,40.805931,-73.964524,0.8,fallback
38091,40.805555,-73.964535,0.8,fallback
38194,40.806273,-73.964229,0.8,fallback
38092,40.805592,-73.96458,0.8,fallback
38195,40.806289,-73.964296,0.8,fallback
38093,40.805602,-73.964646,0.8,fallback
38094,40.805641,-73.964694,0.8,fallback
7940,40.805867,-73.966014,0.8,fallback
7946,40.806512,-73.965505,0.8,fallback
38410,40.808083,-73.964731,0.8,fallback
38197,40.806841,-73.96562,0.8,fallback
805850,40.806599,-73.965851,0.8,fallback
806041,40.807748,-73.965009,0.8,fallback
38199,40.806851,-73.965673,0.8,fallback
38099,40.80627,-73.966158,0.8,fallback
38200,40.806877,-73.96571,0.8,fallback
38286,40.807559,-73.965378,0.8,fallback
38100,40.806305,-73.966283,0.8,fallback
38201,40.806888,-73.965759,0.8,fallback
38411,40.808188,-73.964917,0.8,fallback
38203,40.806916,-73.965798,0.8,fallback
38102,40.806334,-73.966372,0.8,fallback
38204,40.806926,-73.965849,0.8,fallback
38205,40.806955,-73.965886,0.8,fallback
38290,40.808047,-73.965405,0.8,fallback
43107,40.841746,-73.940398,0.8,fallback
38208,40.807121,-73.966363,0.8,fallback
38292,40.808054,-73.965475,0.8,fallback
38293,40.808063,-73.96562,0.8,fallback
22646,40.843935,-73.943348,0.8,fallback
25573,40.807621,-73.958549,0.8,fallback
25574,40.808015,-73.958499,0.8,fallback
25575,40.808459,-73.958073,0.8,fallback
9859,40.800323,-73.961677,0.8,fallback
49532,40.858749,-73.883143,0.8,fallback
54940,40.858333,-73.882429,0.8,fallback
49535,40.858643,-73.882757,0.8,fallback
34449,40.770988,-73.986305,0.8,fallback
977759,40.695132,-73.986335,0.8,fallback
29242,40.728728,-73.99736,0.8,fallback
806163,40.726719,-73.998604,0.8,fallback
837406,40.733864,-73.989198,0.8,fallback
859194,40.730162,-74.000196,0.8,fallback
11224,40.731762,-73.995566,0.8,fallback
29181,40.729493,-73.995202,0.8,fallback
945881,40.73201,-73.989282,0.8,fallback
891228,40.738349,-73.997531,0.8,fallback
24483,40.730011,-73.999882,0.8,fallback
829405,40.733327,-73.988205,0.8,fallback
11225,40.731684,-73.995484,0.8,fallback
11226,40.731663,-73.995328,0.8,fallback
1009221,40.72679,-73.99795,0.8,fallback
806020,40.728309,-73.99649,0.8,fallback
804376,40.736664,-73.991547,0.8,fallback
966428,40.728089,-73.990646,0.8,fallback
12128,40.736338,-73.991781,0.8,fallback
29228,40.732045,-73.997796,0.8,fallback
11227,40.7316,-73.995172,0.8,fallback
859476,40.730046,-73.998787,0.8,fallback
25442,40.727549,-73.995375,0.8,fallback
805419,40.736288,-73.99121,0.8,fallback
29234,40.732379,-73.998297,0.8,fallback
7022,40.737101,-74.00727,0.8,fallback
29243,40.732011,-73.999005,0.8,fallback
806017,40.727902,-73.998057,0.8,fallback
2182,40.729728,-73.989299,0.8,fallback
917682,40.739209,-73.983194,0.8,fallback
29246,40.731578,-73.999544,0.8,fallback
12578,40.736502,-73.98016,0.8,fallback
12724,40.738408,-73.978623,0.8,fallback
12725,40.738323,-73.978478,0.8,fallback
12777,40.738906,-73.978005,0.8,fallback
2783,40.733465,-73.995078,0.8,fallback
29247,40.73158,-73.99957,0.8,fallback
11262,40.731187,-73.994441,0.8,fallback
29248,40.731326,-73.999655,0.8,fallback
840219,40.743468,-73.974213,0.8,fallback
